,Date,URM,LRM,Distance,Year
622,9/14/2010,158,152.5,5.5,2010
623,9/15/2010,90.5,74,16.5,2010
624,9/15/2010,158.5,152.5,6,2010
625,9/16/2010,90.5,74,16.5,2010
626,9/16/2010,160,152.5,7.5,2010
627,9/17/2010,90.5,74,16.5,2010
628,9/17/2010,160.5,152.5,8,2010
629,9/18/2010,90.5,74,16.5,2010
630,9/18/2010,161,152.5,8.5,2010
631,9/19/2010,94,74,20,2010
632,9/19/2010,160.5,152.5,8,2010
633,9/2/2010,81,74,7,2010
634,9/20/2010,94.5,74,20.5,2010
635,9/20/2010,159,152.5,6.5,2010
