"Date","URM","LRM","Distance","Year"
"370",2006-06-25,88.1,74,14.1,2006
"371",2006-06-26,89.6,74,15.6,2006
"372",2006-07-20,159.5,152.5,7,2006
"373",2006-07-20,77.2,74,3.2,2006
"374",2006-07-23,87.1,74,13.1,2006
"375",2006-07-24,84.2,74,10.2,2006
"376",2006-07-25,86.9,74,12.9,2006
"377",2006-07-25,84.4,74,10.4,2006
"378",2006-07-26,92.3,74,18.3,2006
"379",2006-07-27,84.3,74,10.3,2006
"380",2006-07-06,80,74,6,2006
"381",2006-09-19,75.8,74,1.8,2006
"382",2006-09-21,83.3,74,9.3,2006
"383",2006-09-22,81,74,7,2006
"384",2006-09-23,80.5,74,6.5,2006
"385",2006-09-24,80.3,74,6.3,2006
"386",2006-09-25,80.5,74,6.5,2006
"387",2006-09-26,154.9,152.5,2.4,2006
"388",2006-09-27,154.9,152.5,2.4,2006
"389",2006-09-27,74.5,74,0.5,2006
"390",2006-09-28,154,152.5,1.5,2006
"391",2006-09-28,78.8,74,4.8,2006
"392",2006-09-29,154,152.5,1.5,2006
"393",2006-09-30,83.2,74,9.2,2006
"394",2007-10-10,81,74,7,2007
"395",2007-10-10,155.5,152.5,3,2007
"396",2007-10-11,155.5,152.5,3,2007
"397",2007-10-12,155.5,152.5,3,2007
"398",2007-10-13,155.5,152.5,3,2007
"399",2007-10-14,155,152.5,2.5,2007
"400",2007-10-15,155,152.5,2.5,2007
"401",2007-10-16,155,152.5,2.5,2007
"402",2007-10-17,155.5,152.5,3,2007
"403",2007-10-18,155,152.5,2.5,2007
"404",2007-10-19,157,152.5,4.5,2007
"405",2007-10-20,158,152.5,5.5,2007
"406",2007-10-21,159,152.5,6.5,2007
"407",2007-10-22,160,152.5,7.5,2007
"408",2007-10-23,160,152.5,7.5,2007
"409",2007-10-24,157,152.5,4.5,2007
"410",2007-10-25,159,152.5,6.5,2007
"411",2007-10-26,159.5,152.5,7,2007
"412",2007-10-27,159,152.5,6.5,2007
"413",2007-10-28,159,152.5,6.5,2007
"414",2007-10-29,158.5,152,6.5,2007
"415",2007-10-03,82.5,74,8.5,2007
"416",2007-10-30,158.5,152.5,6,2007
"417",2007-10-31,160,152.5,7.5,2007
"418",2007-10-04,78.5,74,4.5,2007
"419",2007-10-05,156,152.5,3.5,2007
"420",2007-10-06,82,74,8,2007
"421",2007-10-06,155.5,152.5,3,2007
"422",2007-10-09,82,74,8,2007
"423",2007-10-09,155.5,152.5,3,2007
"424",2007-06-30,76.5,74,2.5,2007
"425",2007-07-01,76.5,74,2.5,2007
"426",2007-07-14,88.5,74,14.5,2007
"427",2007-07-15,90,74,16,2007
"428",2007-07-16,90,74,16,2007
"429",2007-07-17,90,74,16,2007
"430",2007-07-18,91.5,74,17.5,2007
"431",2007-07-19,93,74,19,2007
"432",2007-07-02,84.5,74,10.5,2007
"433",2007-07-20,95,74,21,2007
"434",2007-07-23,98,74,24,2007
"435",2007-07-24,96,74,22,2007
"436",2007-07-25,83.5,74,9.5,2007
"437",2007-07-03,84.5,74,10.5,2007
"438",2007-07-04,88,74,14,2007
"439",2007-07-05,85.5,74,11.5,2007
"440",2007-07-06,84,74,10,2007
